comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg  
"Pónganse de acuerdo, binomio Rodrigo Maz - Ex capitán Edman Lacra",85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0
En otras palabras quiere #amordazar la prensa.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
LO QUE HAY QUE REPLANTEAR ES EL APOYO EN LA SEGUNDA VUELTA A SU BINOMIO DON RODRIGO SU VICE ESTÁ ENFERMO DE ODIO !!!!!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Que plantee su declinación mejor,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0
Huele a controlar a la prensa...sus declaraciones del candidato,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
K salga pomacusi a defenderlos a los masistas lara lari,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Rodrigo paz parece ya sirvienta de Lara ahora atacan a la prensa como Nicolás maduro o como Hugo Chavez,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Sean respetuosos con todos,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"Este parece peor que el Lari, le ponen un bosal y van a ver cuanto es el cambio",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
No ha nada que replantear es un vozal para el maiburrlara PDC,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Los dos son masista, que de bueno se puede esperar",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Debes aclarar de que candidatos hablas.,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
RODRIGO PAZ PRESIDENTE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Cómo sería el gobierno de esta gente sin prensa .,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
pero con honestidad todo va bien sogue adelante Paz y Lara 💪💪🇧🇴🇧🇴👏👏,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Quiere callar a la prensa, así de claro.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tiene razon la prensa es la chispa que inciende el juego no hay lealtad a su trabajo...por ejemplo el Junior....tanta plata ya gano del gobierno,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
No a la nacionalización de autos chutos......,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Me voto seguirá siendo nulo hasta que regrese el hno Evo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Piense como va solucionar el problema de los dólares... Bonos seguro,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
PAZ y LARA el binomio del pueblo 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴👍,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Paz Lara presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Cuando tu compa tmb quiere ser presi es fatal,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto Presidente,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Lo mejor es que regresen a los lugares de donde han salido,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Falta de pelotas de Rodrigo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Quiere llorar... quiere llorar!!!,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Este incaPAZ mejor que plantee la opción de poner alguien que tenga estudios y no sea tan ignorante y lengua suelta como Edman LAcRA, también debía plantearse un equipo económico para ver cómo sacar al país de la crisis, hablan de bonos a la gente humilde y no saben de dónde van a sacar el dinero.",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
